Theme	Score	Terms
Cell-cycle & Apoptosis	894.4408684192912	96
Cardiac & Muscle Function	414.2721642251381	57
Extracellular matrix & adhesion	409.0687107880606	44
Metabolic re-wiring	242.70641278604103	38
Stress & cytokine response	209.61818741419597	26
Hematopoietic & immune commitment	155.28298762187592	35
Neuronal Excitability & Synapse	138.94091325377127	24
Oxidative stress & redox regulation	46.582588871909664	11
Neurotrophic Signaling & Growth Factors	28.943959797497037	6
Immune-Neuronal Crosstalk	23.307380556000044	6
Inflammation & immune signaling	17.531412438723038	3
Oxidative Phosphorylation & Mitochondria	5.981222461671361	2
Autophagy & Proteostasis	2.3533748266386643	1
Myelination & Schwann Cell Biology	2.223905912632739	1
