Theme	Score	Terms
Metabolic re-wiring	171.8978929817415	35
Extracellular matrix & adhesion	126.45619328338388	19
Neuronal Excitability & Synapse	44.81845002903079	8
Stress & cytokine response	39.965831177831646	6
Cell-cycle & Apoptosis	38.31467937341968	4
Hematopoietic & immune commitment	36.030632398565935	10
Neurotrophic Signaling & Growth Factors	25.59882354123626	7
Oxidative stress & redox regulation	15.458335606851358	3
Autophagy & Proteostasis	4.641226414662536	1
Immune-Neuronal Crosstalk	3.9607523719900746	1
Myelination & Schwann Cell Biology	2.7149548528666045	1
